"id","station_id","station_name","lat","long","altitude_sensor","altitude_site"
"90","55664","TINGRI","28 38 00N","87 05 00E","4300","999998"
"91","56004","TUOTUOHE","34 13 00N","92 26 00E","4535","999998"
"92","56018","ZADOI","32 54 00N","95 18 00E","4068","999998"
"93","56021","QUMARLEB","34 08 00N","95 47 00E","4176","999998"
"94","56029","YUSHU","33 00 00N","96 58 00E","3718","999998"
"95","56033","MADOI","34 55 00N","98 13 00E","4273","999998"
"96","56046","DARLAG","33 45 00N","99 39 00E","3968","999998"
"97","56079","RUO'ERGAI","33 35 00N","102 58 00E","3441","999998"
"98","56080","HEZUO","35 00 00N","102 54 00E","2910","999998"
"99","56096","WUDU","33 24 00N","104 55 00E","1079","1079"
"100","56116","DENGQEN","31 25 00N","95 36 00E","3874","999998"
"101","56137","QAMDO","31 09 00N","97 10 00E","3316","999998"
"102","56152","SERTAR","32 17 00N","100 20 00E","3896","999998"
"103","56172","BARKAM","31 54 00N","102 14 00E","2666","999998"
"104","56182","SONGPAN","32 40 00N","103 36 00E","2882","999998"
"105","56187","WENJIANG","30 45 00N","103 52 00E","555","999998"
"106","56247","BATANG","30 00 00N","99 06 00E","2589","999998"
"107","56312","NYINGCHI","29 34 00N","94 28 00E","3001","999998"
"108","56444","DEQEN","28 27 00N","98 53 00E","3320","999998"
"109","56462","JIULONG","29 00 00N","101 30 00E","2931","999998"
"110","56492","YIBIN","28 48 00N","104 36 00E","342","999998"
"111","56571","XICHANG","27 54 00N","102 16 00E","1599","999998"
"112","56651","LIJING","26 50 00N","100 13 00E","2382","999998"
"113","56691","WEINING","26 52 00N","104 17 00E","2236","999998"
"114","56739","TENGCHONG","24 59 00N","98 30 00E","1697","999998"
"115","56778","KUNMING","25 01 00N","102 41 00E","1892","999998"
"116","56951","LINCANG","23 57 00N","100 13 00E","1503","999998"
"117","56964","SIMAO","22 46 00N","100 59 00E","1303","999998"
"118","56969","MENGLA","21 30 00N","101 35 00E","633","999998"
"119","57083","ZHENGZHOU","34 43 00N","113 39 00E","111","999998"
"120","57127","HANZHONG","33 04 00N","107 02 00E","509","999998"
"121","57131","JINGHE","34 26 00N","108 58 00E","411","999998"
"122","57178","NANYANG","33 06 00N","112 29 00E","182","999998"
"123","57245","ANKANG","32 43 00N","109 02 00E","291","999998"
"124","57265","LAOHEKOU","32 26 00N","111 44 00E","129","999998"
"125","57297","XINYANG","32 08 00N","114 03 00E","115","999998"
"126","57328","DA XIAN","31 12 00N","107 30 00E","344","999998"
"127","57411","NANCHONG","30 48 00N","106 05 00E","310","999998"
"128","57447","ENSHI","30 17 00N","109 28 00E","458","999998"
"129","57461","YICHANG","30 44 00N","111 22 00E","258","999998"
"130","57494","WUHAN","30 36 00N","114 03 00E","25","24"
"131","57516","CHONGQING","29 35 00N","106 28 00E","260","999998"
"132","57633","YOUYANG","28 50 00N","108 46 00E","828","999998"
"133","57662","CHANGDE","29 03 00N","111 41 00E","151","999998"
"134","57687","CHANGSHA","28 14 00N","112 52 00E","68","999998"
"135","57745","ZHIJIANG","27 27 00N","109 41 00E","273","999998"
"136","57799","JI'AN","27 07 00N","114 58 00E","78","999998"
"137","57816","GUIYANG","26 35 00N","106 44 00E","1223","999998"
"138","57866","LINGLING","26 14 00N","111 37 00E","174","174"
"139","57902","XINGREN","25 26 00N","105 11 00E","1379","999998"
"140","57957","GUILIN","25 20 00N","110 18 00E","166","999998"
"141","57972","CHENZHOU","25 48 00N","113 02 00E","185","185"
"142","57993","GANZHOU","25 52 00N","115 00 00E","138","999998"
"143","58027","XUZHOU","34 17 00N","117 09 00E","42","999998"
"144","58040","GANYU","34 51 00N","119 08 00E","10","999998"
"145","58102","BOXIAN","33 53 00N","115 46 00E","42","999998"
"146","58141","HUAIYIN","33 38 00N","118 56 00E","14","999998"
"147","58150","SHEYANG","33 45 00N","120 18 00E","3","999998"
"148","58203","FUYANG","32 52 00N","115 44 00E","33","999998"
"149","58221","BENGBU","32 51 00N","117 18 00E","28","999998"
"150","58238","NANJING","31 56 00N","118 54 00E","36","32"
"151","58251","DONGTAI","32 51 00N","120 17 00E","4","999998"
"152","58265","LUSI","32 04 00N","121 36 00E","10","999998"
"153","58314","HUOSHAN","31 24 00N","116 20 00E","88","999998"
"154","58362","SHANGHAI (BAOSHAN)","31 25 00N","121 27 00E","9","999998"
"155","58457","HANGZHOU","30 14 00N","120 10 00E","43","999998"
